Input,Output
1.5720251525742128,4.457157522416085
9.053446153848839,17.09994099946528
7.9502029236699165,13.42650442558367
6.962700559185838,12.106626208782199
3.3290198344001523,8.240103562886398
4.961372443656412,10.525839571980049
3.629301836816963,7.268830586918848
8.767930832880342,21.267410688050198
1.185260448662222,4.201325132728592
4.370861069626263,8.915816275728869
4.887505167779041,8.990794029293767
6.467903667112945,16.70817913664695
8.339152856093508,17.27227505865339
9.539969835279999,18.931047839027663
2.0763482134447155,5.796816746878411
2.4041677639819286,4.368991752288833
7.941433120173512,14.522816797190043
1.6664018656068134,3.797311125535634
8.491983767203795,15.924447126873513
2.5347171131856236,5.418589852034925
9.296868115208051,18.730862180028158
8.98491468318694,19.896581624862524
2.7970640394252375,4.908699045796936
1.3094966900369656,4.904639009103972
9.881982429404655,21.32761060236393
2.650640588680904,7.238571158427587
2.0983441136030097,4.127264687795533
5.704595464437946,11.254987510047684
7.372653200164409,13.741792313159745
1.0496990541124216,3.1432812394586387
9.72918866945795,20.115879558235267
5.680612190600297,8.557522255616032
3.9266498982407234,9.427469003966351
6.331731119758382,12.340890816184746
6.051494778125466,10.595517227535954
2.403950683025824,5.52212650907514
2.2683180247728636,1.321669580423272
5.884264748424236,14.38281500541333
8.275576133048151,16.49812451519787
3.7381801866358395,6.072254185516974
2.6636900997297435,9.708291451079443
9.690688297671034,15.543834164743986
8.795585311974417,16.55463018740154
5.444160367279517,9.256700164628157
5.628109945722504,9.651665353001771
3.6210622617823773,4.3150946273005175
6.609683141448022,14.167032124719618
8.066583652537123,15.291876659543528
8.458637582367365,18.54430959947407
2.9110519961044856,6.848638858435684
5.104629857953324,7.378518231805819
6.387926357773329,8.800714886344874
5.72280788469014,10.790291476184745
7.158097238609412,13.931472547656579
6.41003510568888,11.203083005591385
4.226191556898454,9.03852806039427
1.5227525095137953,6.001293108510623
3.5284105871864266,7.511741043581112
3.741523922560336,7.603508265002725
5.249934326457543,11.325430506788082
1.7964325184672756,1.4682576094823414
1.97102284293974,5.596412183951528
6.381099809299767,9.660872756467267
9.18388361870904,19.871633302791626
9.726261649881026,17.471450649500675
8.219772826786357,16.808813370637324
3.8053996848046987,10.416387991481596
1.6709557931179373,3.861677174732722
3.442141285965063,6.240159539518775
4.847869165226946,10.37804228008718
2.0428215357261674,2.656940235399599
5.456592191001432,8.5758283067638
1.4070456001948426,0.9752427319220789
5.920392514089517,13.014499215779574
1.2287721406968566,3.010925880053751
2.763845761772307,6.474876384814977
7.561064512368886,15.815025443731724
1.5854643368675156,3.68602945518056
7.938704619591049,14.09838037993105
3.927972976869379,10.955814763773837
4.210779940242304,5.959831247616698
3.79884089544096,5.6483184504272765
1.8790490260574548,8.684582277085482
1.4180537144799796,3.644209142589036
9.556428757689245,18.514842814446755
9.455490474077703,19.11028367833069
2.2554447458683766,5.0330000360965315
7.587945476302646,15.359412505676296
4.297256589643226,8.125338912536158
6.738017242196918,11.834669847690414
7.419203085006955,18.631992135321806
7.361716094628554,15.224417889948862
7.566455605042576,17.450102368099962
3.9780822236738427,5.573557452942389
6.506676052501415,13.605592659131982
4.498095607205338,7.429684629738201
2.7884411338075514,2.9359690414465502
2.636424704863906,5.4670045084238925
7.847065437552077,15.203354643098413
7.976195410250031,14.819795361294519
